future_sep_date,prior_sep_date,panel,survey_date,received_by_date,market_median,previous_market_median,survey_change_pp,survey_change_bps,prior_sep_median,future_sep_median,sep_change_pp,sep_change_bps,days_to_future_sep,days_since_prior_sep
2012-09-13,2012-06-20,SPD,2012-09-01,2012-09-04,4.0,4.0,0.0,0.0,4.3,4.0,-0.2999999999999998,-30.0,9,76
2012-12-12,2012-09-13,SPD,2012-12-01,2012-12-03,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,9,81
2013-03-20,2012-12-12,SPD,2013-03-01,2013-03-11,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,9,89
2013-06-19,2013-03-20,SPD,2013-06-01,2013-06-10,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,9,82
2013-09-18,2013-06-19,SPD,2013-09-01,2013-09-09,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,9,82
2013-12-18,2013-09-18,SPD,2013-12-01,2013-12-09,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,9,82
2014-03-19,2013-12-18,SMP,2014-03-01,2014-03-10,3.75,3.88,-0.1299999999999999,-13.0,4.0,4.0,0.0,0.0,9,82
2014-03-19,2013-12-18,SPD,2014-03-01,2014-03-10,3.75,4.0,-0.25,-25.0,4.0,4.0,0.0,0.0,9,82
2014-06-18,2014-03-19,SMP,2014-06-01,2014-06-09,3.75,3.75,0.0,0.0,4.0,3.8,-0.20000000000000018,-20.0,9,82
2014-06-18,2014-03-19,SPD,2014-06-01,2014-06-09,3.5,3.75,-0.25,-25.0,4.0,3.8,-0.20000000000000018,-20.0,9,82
2014-09-17,2014-06-18,SMP,2014-09-01,2014-09-08,3.75,3.63,0.1200000000000001,12.0,3.8,3.8,0.0,0.0,9,82
2014-09-17,2014-06-18,SPD,2014-09-01,2014-09-08,3.5,3.5,0.0,0.0,3.8,3.8,0.0,0.0,9,82
2014-12-17,2014-09-17,SMP,2014-12-01,2014-12-08,3.5,3.5,0.0,0.0,3.8,3.8,0.0,0.0,9,82
2014-12-17,2014-09-17,SPD,2014-12-01,2014-12-08,3.5,3.5,0.0,0.0,3.8,3.8,0.0,0.0,9,82
2015-03-18,2014-12-17,SMP,2015-03-01,2015-03-09,3.5,3.5,0.0,0.0,3.8,3.8,0.0,0.0,9,82
2015-03-18,2014-12-17,SPD,2015-03-01,2015-03-09,3.5,3.5,0.0,0.0,3.8,3.8,0.0,0.0,9,82
2015-06-17,2015-03-18,SMP,2015-06-01,2015-06-08,3.5,3.5,0.0,0.0,3.8,3.8,0.0,0.0,9,82
2015-06-17,2015-03-18,SPD,2015-06-01,2015-06-08,3.5,3.5,0.0,0.0,3.8,3.8,0.0,0.0,9,82
2015-09-17,2015-06-17,SMP,2015-09-01,2015-09-08,3.5,3.5,0.0,0.0,3.8,3.5,-0.2999999999999998,-30.0,9,83
2015-09-17,2015-06-17,SPD,2015-09-01,2015-09-08,3.38,3.38,0.0,0.0,3.8,3.5,-0.2999999999999998,-30.0,9,83
2015-12-16,2015-09-17,SMP,2015-12-01,2015-12-07,3.0,3.5,-0.5,-50.0,3.5,3.5,0.0,0.0,9,81
2015-12-16,2015-09-17,SPD,2015-12-01,2015-12-07,3.25,3.38,-0.1299999999999999,-13.0,3.5,3.5,0.0,0.0,9,81
2016-03-16,2015-12-16,SMP,2016-03-01,2016-03-07,3.25,3.25,0.0,0.0,3.5,3.3,-0.20000000000000018,-20.0,9,82
2016-03-16,2015-12-16,SPD,2016-03-01,2016-03-07,3.25,3.25,0.0,0.0,3.5,3.3,-0.20000000000000018,-20.0,9,82
2016-06-15,2016-03-16,SMP,2016-06-01,2016-06-06,2.75,2.75,0.0,0.0,3.3,3.0,-0.2999999999999998,-30.0,9,82
2016-06-15,2016-03-16,SPD,2016-06-01,2016-06-06,3.25,3.25,0.0,0.0,3.3,3.0,-0.2999999999999998,-30.0,9,82
2016-09-21,2016-06-15,SMP,2016-09-01,2016-09-12,2.63,2.75,-0.1200000000000001,-12.0,3.0,2.9,-0.10000000000000009,-10.0,9,89
2016-09-21,2016-06-15,SPD,2016-09-01,2016-09-12,3.0,3.0,0.0,0.0,3.0,2.9,-0.10000000000000009,-10.0,9,89
2016-12-14,2016-09-21,SMP,2016-12-01,2016-12-05,2.75,2.5,0.25,25.0,2.9,3.0,0.10000000000000009,10.0,9,75
2016-12-14,2016-09-21,SPD,2016-12-01,2016-12-05,2.75,2.75,0.0,0.0,2.9,3.0,0.10000000000000009,10.0,9,75
2017-03-15,2016-12-14,SMP,2017-03-01,2017-03-06,2.75,2.81,-0.06000000000000005,-6.0,3.0,3.0,0.0,0.0,9,82
2017-03-15,2016-12-14,SPD,2017-03-01,2017-03-06,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,9,82
2017-06-14,2017-03-15,SMP,2017-06-01,2017-06-05,2.75,2.75,0.0,0.0,3.0,3.0,0.0,0.0,9,82
2017-06-14,2017-03-15,SPD,2017-06-01,2017-06-05,2.88,3.0,-0.1200000000000001,-12.0,3.0,3.0,0.0,0.0,9,82
2017-09-20,2017-06-14,SMP,2017-09-01,2017-09-11,2.75,2.75,0.0,0.0,3.0,2.8,-0.20000000000000018,-20.0,9,89
2017-09-20,2017-06-14,SPD,2017-09-01,2017-09-11,2.75,2.75,0.0,0.0,3.0,2.8,-0.20000000000000018,-20.0,9,89
2017-12-13,2017-09-20,SMP,2017-12-01,2017-12-04,2.75,2.75,0.0,0.0,2.8,2.8,0.0,0.0,9,75
2017-12-13,2017-09-20,SPD,2017-12-01,2017-12-04,2.75,2.75,0.0,0.0,2.8,2.8,0.0,0.0,9,75
2018-03-21,2017-12-13,SMP,2018-03-01,2018-03-12,2.75,2.75,0.0,0.0,2.8,2.9,0.10000000000000009,10.0,9,89
2018-03-21,2017-12-13,SPD,2018-03-01,2018-03-12,2.75,2.75,0.0,0.0,2.8,2.9,0.10000000000000009,10.0,9,89
2018-06-13,2018-03-21,SMP,2018-06-01,2018-06-04,2.88,2.75,0.1299999999999999,13.0,2.9,2.9,0.0,0.0,9,75
2018-06-13,2018-03-21,SPD,2018-06-01,2018-06-04,2.75,2.75,0.0,0.0,2.9,2.9,0.0,0.0,9,75
2018-09-26,2018-06-13,SMP,2018-09-01,2018-09-17,2.875,2.88,-0.004999999999999893,-0.5,2.9,3.0,0.10000000000000009,10.0,9,96
2018-09-26,2018-06-13,SPD,2018-09-01,2018-09-17,2.75,2.75,0.0,0.0,2.9,3.0,0.10000000000000009,10.0,9,96
2018-12-19,2018-09-26,SMP,2018-12-01,2018-12-10,3.0,3.0,0.0,0.0,3.0,2.8,-0.20000000000000018,-20.0,9,75
2018-12-19,2018-09-26,SPD,2018-12-01,2018-12-10,2.88,2.88,0.0,0.0,3.0,2.8,-0.20000000000000018,-20.0,9,75
2019-03-20,2018-12-19,SMP,2019-03-01,2019-03-11,2.75,2.75,0.0,0.0,2.8,2.8,0.0,0.0,9,82
2019-03-20,2018-12-19,SPD,2019-03-01,2019-03-11,2.75,2.75,0.0,0.0,2.8,2.8,0.0,0.0,9,82
2019-06-19,2019-03-20,SMP,2019-06-01,2019-06-10,2.5,2.69,-0.18999999999999995,-19.0,2.8,2.5,-0.2999999999999998,-30.0,9,82
2019-06-19,2019-03-20,SPD,2019-06-01,2019-06-10,2.69,2.75,-0.06000000000000005,-6.0,2.8,2.5,-0.2999999999999998,-30.0,9,82
2019-09-18,2019-06-19,SMP,2019-09-01,2019-09-09,2.48,2.5,-0.020000000000000018,-2.0,2.5,2.5,0.0,0.0,9,82
2019-09-18,2019-06-19,SPD,2019-09-01,2019-09-09,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.0,9,82
2019-12-11,2019-09-18,SMP,2019-12-01,2019-12-02,2.31,2.38,-0.06999999999999984,-7.0,2.5,2.5,0.0,0.0,9,75
2019-12-11,2019-09-18,SPD,2019-12-01,2019-12-02,2.5,2.5,0.0,0.0,2.5,2.5,0.0,0.0,9,75
2020-06-10,2019-12-11,SMP,2020-06-01,2020-06-01,2.0,2.0,0.0,0.0,2.5,2.5,0.0,0.0,9,173
