survey_date,distributed_date,received_by_date,panel,market_median,sep_release_date,sep_longrun_median,target_date,target_midpoint,market_minus_sep_pp,market_minus_sep_bps,target_minus_sep_pp,target_minus_sep_bps,market_minus_target_bps,days_since_sep_release,source,local_path,receipt_source_file
2012-06-01,2012-06-07,2012-06-11,SPD,4.0,2012-04-25,4.3,2012-06-11,0.125,-0.2999999999999998,-30.0,-4.175,-417.5,387.5,47,pdf_llm,data_raw/2012-June_result.pdf,data_raw/2012-June_result.pdf
2012-08-01,2012-07-19,2012-07-23,SPD,4.0,2012-06-20,4.3,2012-07-23,0.125,-0.2999999999999998,-30.0,-4.175,-417.5,387.5,33,pdf_llm,data_raw/2012-august_result.pdf,data_raw/2012-august_result.pdf
2012-09-01,2012-08-31,2012-09-04,SPD,4.0,2012-06-20,4.3,2012-09-04,0.125,-0.2999999999999998,-30.0,-4.175,-417.5,387.5,76,pdf_llm,data_raw/2012-September_result.pdf,data_raw/2012-September_result.pdf
2012-10-01,2012-10-11,2012-10-15,SPD,4.0,2012-09-13,4.0,2012-10-15,0.125,0.0,0.0,-3.875,-387.5,387.5,32,pdf_llm,data_raw/2012-October_result.pdf,data_raw/2012-October_result.pdf
2012-12-01,2012-11-29,2012-12-03,SPD,4.0,2012-09-13,4.0,2012-12-03,0.125,0.0,0.0,-3.875,-387.5,387.5,81,pdf_llm,data_raw/2012-December_result.pdf,data_raw/2012-December_result.pdf
2013-01-01,2013-01-17,2013-01-22,SPD,4.0,2012-12-12,4.0,2013-01-22,0.125,0.0,0.0,-3.875,-387.5,387.5,41,pdf_llm,data_raw/2013-January_result.pdf,data_raw/2013-January_result.pdf
2013-03-01,2013-03-07,2013-03-11,SPD,4.0,2012-12-12,4.0,2013-03-11,0.125,0.0,0.0,-3.875,-387.5,387.5,89,pdf_llm,data_raw/2013-March_result.pdf,data_raw/2013-March_result.pdf
2013-04-01,2013-04-18,2013-04-22,SPD,4.0,2013-03-20,4.0,2013-04-22,0.125,0.0,0.0,-3.875,-387.5,387.5,33,pdf_llm,data_raw/2013-April_result.pdf,data_raw/2013-April_result.pdf
2013-06-01,2013-06-06,2013-06-10,SPD,4.0,2013-03-20,4.0,2013-06-10,0.125,0.0,0.0,-3.875,-387.5,387.5,82,pdf_llm,data_raw/2013-June_result.pdf,data_raw/2013-June_result.pdf
2013-07-01,2013-07-17,2013-07-22,SPD,4.0,2013-06-19,4.0,2013-07-22,0.125,0.0,0.0,-3.875,-387.5,387.5,33,pdf_llm,data_raw/2013-July_result.pdf,data_raw/2013-July_result.pdf
2013-09-01,2013-09-05,2013-09-09,SPD,4.0,2013-06-19,4.0,2013-09-09,0.125,0.0,0.0,-3.875,-387.5,387.5,82,pdf_llm,data_raw/2013-September_result.pdf,data_raw/2013-September_result.pdf
2013-10-01,2013-10-17,2013-10-22,SPD,4.0,2013-09-18,4.0,2013-10-22,0.125,0.0,0.0,-3.875,-387.5,387.5,34,pdf_llm,data_raw/2013-October_result.pdf,data_raw/2013-October_result.pdf
2013-12-01,2013-12-05,2013-12-09,SPD,4.0,2013-09-18,4.0,2013-12-09,0.125,0.0,0.0,-3.875,-387.5,387.5,82,pdf_llm,data_raw/2013-December_result.pdf,data_raw/2013-December_result.pdf
2014-01-01,2014-01-16,2014-01-21,SMP,3.88,2013-12-18,4.0,2014-01-21,0.125,-0.1200000000000001,-12.0,-3.875,-387.5,375.5,34,pdf_llm,data_raw/2014-mp_January_result.pdf,data_raw/2014-mp_January_result.pdf
2014-01-01,2014-01-16,2014-01-21,SPD,4.0,2013-12-18,4.0,2014-01-21,0.125,0.0,0.0,-3.875,-387.5,387.5,34,pdf_llm,data_raw/2014-January_result.pdf,data_raw/2014-January_result.pdf
2014-03-01,2014-03-06,2014-03-10,SMP,3.75,2013-12-18,4.0,2014-03-10,0.125,-0.25,-25.0,-3.875,-387.5,362.5,82,pdf_llm,data_raw/2014-mp_March_result.pdf,data_raw/2014-mp_March_result.pdf
2014-03-01,2014-03-06,2014-03-10,SPD,3.75,2013-12-18,4.0,2014-03-10,0.125,-0.25,-25.0,-3.875,-387.5,362.5,82,pdf_llm,data_raw/2014-March_result.pdf,data_raw/2014-March_result.pdf
2014-04-01,2014-04-17,2014-04-22,SMP,3.75,2014-03-19,4.0,2014-04-22,0.125,-0.25,-25.0,-3.875,-387.5,362.5,34,pdf_llm,data_raw/2014-mp_April_result.pdf,data_raw/2014-mp_April_result.pdf
2014-04-01,2014-04-17,2014-04-22,SPD,3.75,2014-03-19,4.0,2014-04-22,0.125,-0.25,-25.0,-3.875,-387.5,362.5,34,pdf_llm,data_raw/2014-April_result.pdf,data_raw/2014-April_result.pdf
2014-06-01,2014-06-05,2014-06-09,SMP,3.75,2014-03-19,4.0,2014-06-09,0.125,-0.25,-25.0,-3.875,-387.5,362.5,82,pdf_llm,data_raw/2014-mp_June_result.pdf,data_raw/2014-mp_June_result.pdf
2014-06-01,2014-06-05,2014-06-09,SPD,3.5,2014-03-19,4.0,2014-06-09,0.125,-0.5,-50.0,-3.875,-387.5,337.5,82,pdf_llm,data_raw/2014-June_result.pdf,data_raw/2014-June_result.pdf
2014-07-01,2014-07-16,2014-07-21,SMP,3.63,2014-06-18,3.8,2014-07-21,0.125,-0.16999999999999993,-17.0,-3.675,-367.5,350.5,33,pdf_llm,data_raw/2014-mp_July_result.pdf,data_raw/2014-mp_July_result.pdf
