survey_date,panel,distributed_date,received_by_date,source_file,notes
2011-01-01,SPD,2011-01-13,2011-01-18,data_raw/2011-January_result.pdf,
2011-03-01,SPD,2011-03-03,2011-03-07,data_raw/2011-March_result.pdf,
2011-04-01,SPD,2011-04-13,2011-04-18,data_raw/2011-April_result.pdf,
2011-06-01,SPD,2011-06-09,2011-06-13,data_raw/2011-June_result.pdf,
2011-08-01,SPD,2011-07-28,2011-08-01,data_raw/2011-August_result.pdf,
2011-09-01,SPD,2011-09-08,2011-09-12,data_raw/2011-September_result.pdf,
2011-10-01,SPD,2011-10-20,2011-10-24,data_raw/November_result.pdf,
2011-11-01,SPD,2011-10-20,2011-10-24,data_raw/2011-November_result.pdf,
2012-06-01,SPD,2012-06-07,2012-06-11,data_raw/2012-June_result.pdf,
2012-07-01,SPD,2012-07-19,2012-07-23,data_raw/august_result.pdf,
2012-08-01,SPD,2012-07-19,2012-07-23,data_raw/2012-august_result.pdf,
2012-09-01,SPD,2012-08-31,2012-09-04,data_raw/2012-September_result.pdf,
2012-10-01,SPD,2012-10-11,2012-10-15,data_raw/2012-October_result.pdf,
2012-12-01,SPD,2012-11-29,2012-12-03,data_raw/2012-December_result.pdf,
2013-01-01,SPD,2013-01-17,2013-01-22,data_raw/2013-January_result.pdf,
2013-03-01,SPD,2013-03-07,2013-03-11,data_raw/2013-March_result.pdf,
2013-04-01,SPD,2013-04-18,2013-04-22,data_raw/2013-April_result.pdf,
2013-06-01,SPD,2013-06-06,2013-06-10,data_raw/2013-June_result.pdf,
2013-07-01,SPD,2013-07-17,2013-07-22,data_raw/2013-July_result.pdf,
2013-09-01,SPD,2013-09-05,2013-09-09,data_raw/2013-September_result.pdf,
2013-10-01,SPD,2013-10-17,2013-10-22,data_raw/2013-October_result.pdf,
2013-12-01,SPD,2013-12-05,2013-12-09,data_raw/2013-December_result.pdf,
2014-01-01,SMP,2014-01-16,2014-01-21,data_raw/2014-mp_January_result.pdf,
2014-01-01,SPD,2014-01-16,2014-01-21,data_raw/2014-January_result.pdf,
2014-03-01,SMP,2014-03-06,2014-03-10,data_raw/2014-mp_March_result.pdf,
2014-03-01,SPD,2014-03-06,2014-03-10,data_raw/2014-March_result.pdf,
2014-04-01,SMP,2014-04-17,2014-04-22,data_raw/2014-mp_April_result.pdf,
2014-04-01,SPD,2014-04-17,2014-04-22,data_raw/2014-April_result.pdf,
2014-06-01,SMP,2014-06-05,2014-06-09,data_raw/2014-mp_June_result.pdf,
2014-06-01,SPD,2014-06-05,2014-06-09,data_raw/2014-June_result.pdf,
2014-07-01,SMP,2014-07-16,2014-07-21,data_raw/2014-mp_July_result.pdf,
2014-07-01,SPD,2014-07-16,2014-07-21,data_raw/2014-July_result.pdf,
2014-09-01,SMP,2014-09-04,2014-09-08,data_raw/2014-mp_September_result.pdf,
2014-09-01,SPD,2014-09-04,2014-09-08,data_raw/2014-September_result.pdf,
2014-10-01,SMP,2014-10-16,2014-10-20,data_raw/2014-mp_October_result.pdf,
2014-10-01,SPD,2014-10-16,2014-10-20,data_raw/2014-October_result.pdf,
