sep_meeting_date,sep_data_vintage_date,sep_p25,sep_p50,sep_p75,market_panel,market_survey_date,market_received_by_date,market_p25,market_p50,market_p75,market_minus_sep_pp,market_minus_sep_bps,days_between_market_receipt_and_sep,market_source,market_receipt_source_file
2020-06-10,2020-06-10,2.34375,2.5,2.5,SMP,2020-06-01,2020-06-01,1.75,2.0,2.5,-0.5,-50.0,9,pdf_llm,data_raw/jun-2020-smp-results.pdf
2020-06-10,2020-06-10,2.34375,2.5,2.5,SPD,2020-06-01,2020-06-01,2.0,2.25,2.5,-0.25,-25.0,9,pdf_llm,data_raw/jun-2020-spd-results.pdf
2020-09-16,2020-09-16,2.34375,2.5,2.5,SMP,2020-09-01,2020-09-08,1.5,2.0,2.38,-0.5,-50.0,8,pdf_llm,data_raw/sep-2020-smp-results.pdf
2020-09-16,2020-09-16,2.34375,2.5,2.5,SPD,2020-09-01,2020-09-08,2.0,2.25,2.5,-0.25,-25.0,8,pdf_llm,data_raw/sep-2020-spd-results.pdf
2020-12-16,2020-12-16,2.34375,2.5,2.5,SMP,2020-12-01,2020-12-07,1.63,2.0,2.25,-0.5,-50.0,9,pdf_llm,data_raw/dec-2020-smp-results.pdf
2020-12-16,2020-12-16,2.34375,2.5,2.5,SPD,2020-12-01,2020-12-07,2.0,2.25,2.5,-0.25,-25.0,9,pdf_llm,data_raw/dec-2020-spd-results.pdf
2021-03-17,2021-03-17,2.25,2.5,2.5,SMP,2021-03-01,2021-03-08,1.75,2.0,2.5,-0.5,-50.0,9,pdf_llm,data_raw/mar-2021-smp-results.pdf
2021-03-17,2021-03-17,2.25,2.5,2.5,SPD,2021-03-01,2021-03-08,2.13,2.25,2.5,-0.25,-25.0,9,pdf_llm,data_raw/mar-2021-spd-results.pdf
2021-06-16,2021-06-16,2.25,2.5,2.5,SMP,2021-06-01,2021-06-07,1.75,2.0,2.5,-0.5,-50.0,9,pdf_llm,data_raw/jun-2021-smp-results.pdf
2021-06-16,2021-06-16,2.25,2.5,2.5,SPD,2021-06-01,2021-06-07,2.06,2.31,2.5,-0.19,-19.0,9,pdf_llm,data_raw/jun-2021-spd-results.pdf
2021-09-22,2021-09-22,2.25,2.5,2.5,SMP,2021-09-01,2021-09-13,1.75,2.0,2.38,-0.5,-50.0,9,pdf_llm,data_raw/sep-2021-smp-results.pdf
2021-09-22,2021-09-22,2.25,2.5,2.5,SPD,2021-09-01,2021-09-13,2.0,2.25,2.5,-0.25,-25.0,9,pdf_llm,data_raw/sep-2021-spd-results.pdf
2021-12-15,2021-12-15,2.25,2.5,2.5,SMP,2021-12-01,2021-12-06,2.0,2.0,2.44,-0.5,-50.0,9,pdf_llm,data_raw/dec-2021-smp-results.pdf
2021-12-15,2021-12-15,2.25,2.5,2.5,SPD,2021-12-01,2021-12-06,2.0,2.25,2.44,-0.25,-25.0,9,pdf_llm,data_raw/dec-2021-spd-results.pdf
2022-06-15,2022-06-15,2.25,2.5,2.5,SMP,2022-06-01,2022-06-06,2.0,2.31,2.5,-0.19,-19.0,9,pdf_llm,data_raw/jun-2022-smp-results.pdf
2022-06-15,2022-06-15,2.25,2.5,2.5,SPD,2022-06-01,2022-06-06,2.25,2.38,2.5,-0.12,-12.0,9,pdf_llm,data_raw/jun-2022-spd-results.pdf
2022-09-21,2022-09-21,2.25,2.5,2.5,SMP,2022-09-01,2022-09-12,2.13,2.38,2.5,-0.12,-12.0,9,pdf_llm,data_raw/sep-2022-smp-results.pdf
2022-09-21,2022-09-21,2.25,2.5,2.5,SPD,2022-09-01,2022-09-12,2.25,2.38,2.5,-0.12,-12.0,9,pdf_llm,data_raw/sep-2022-spd-results.pdf
2022-12-14,2022-12-14,2.375,2.5,2.5,SMP,2022-12-01,2022-12-05,2.13,2.38,2.56,-0.12,-12.0,9,pdf_llm,data_raw/dec-2022-smp-results.pdf
2022-12-14,2022-12-14,2.375,2.5,2.5,SPD,2022-12-01,2022-12-05,2.25,2.5,2.5,0.0,0.0,9,pdf_llm,data_raw/dec-2022-spd-results.pdf
2023-03-22,2023-03-22,2.375,2.5,2.5,SMP,2023-03-01,2023-03-14,2.25,2.5,2.63,0.0,0.0,8,pdf_llm,data_raw/mar-2023-smp-results.pdf
2023-03-22,2023-03-22,2.375,2.5,2.5,SPD,2023-03-01,2023-03-14,2.38,2.5,2.63,0.0,0.0,8,pdf_llm,data_raw/mar-2023-spd-results.pdf
