meeting_date,horizon,dot_value
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2020,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2021,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.125
2020-06-10,2022,0.375
2020-06-10,2022,1.125
2020-06-10,Longer run,2.0
2020-06-10,Longer run,2.25
2020-06-10,Longer run,2.25
2020-06-10,Longer run,2.25
2020-06-10,Longer run,2.375
2020-06-10,Longer run,2.5
2020-06-10,Longer run,2.5
2020-06-10,Longer run,2.5
2020-06-10,Longer run,2.5
2020-06-10,Longer run,2.5
2020-06-10,Longer run,2.5
2020-06-10,Longer run,2.5
2020-06-10,Longer run,2.5
2020-06-10,Longer run,2.75
2020-06-10,Longer run,3.0
2020-06-10,Longer run,3.0
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2020,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2021,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.125
2020-09-16,2022,0.625
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.125
2020-09-16,2023,0.375
2020-09-16,2023,0.375
2020-09-16,2023,0.625
2020-09-16,2023,1.375
2020-09-16,Longer run,2.0
2020-09-16,Longer run,2.25
2020-09-16,Longer run,2.25
2020-09-16,Longer run,2.25
2020-09-16,Longer run,2.375
2020-09-16,Longer run,2.5
2020-09-16,Longer run,2.5
2020-09-16,Longer run,2.5
2020-09-16,Longer run,2.5
2020-09-16,Longer run,2.5
2020-09-16,Longer run,2.5
2020-09-16,Longer run,2.5
2020-09-16,Longer run,2.5
2020-09-16,Longer run,2.75
2020-09-16,Longer run,3.0
2020-09-16,Longer run,3.0
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2020,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2021,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.125
2020-12-16,2022,0.375
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.125
2020-12-16,2023,0.375
2020-12-16,2023,0.375
2020-12-16,2023,0.375
2020-12-16,2023,0.625
2020-12-16,2023,1.125
2020-12-16,Longer run,2.0
2020-12-16,Longer run,2.25
2020-12-16,Longer run,2.25
2020-12-16,Longer run,2.25
2020-12-16,Longer run,2.375
2020-12-16,Longer run,2.5
2020-12-16,Longer run,2.5
2020-12-16,Longer run,2.5
2020-12-16,Longer run,2.5
2020-12-16,Longer run,2.5
2020-12-16,Longer run,2.5
2020-12-16,Longer run,2.5
2020-12-16,Longer run,2.5
2020-12-16,Longer run,2.75
2020-12-16,Longer run,3.0
2020-12-16,Longer run,3.0
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2021,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.125
2021-03-17,2022,0.375
2021-03-17,2022,0.375
2021-03-17,2022,0.375
2021-03-17,2022,0.625
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.125
2021-03-17,2023,0.375
2021-03-17,2023,0.625
2021-03-17,2023,0.875
2021-03-17,2023,0.875
2021-03-17,2023,0.875
2021-03-17,2023,1.125
2021-03-17,2023,1.125
2021-03-17,Longer run,2.0
2021-03-17,Longer run,2.25
2021-03-17,Longer run,2.25
2021-03-17,Longer run,2.25
2021-03-17,Longer run,2.25
2021-03-17,Longer run,2.375
2021-03-17,Longer run,2.5
2021-03-17,Longer run,2.5
2021-03-17,Longer run,2.5
2021-03-17,Longer run,2.5
2021-03-17,Longer run,2.5
2021-03-17,Longer run,2.5
2021-03-17,Longer run,2.5
2021-03-17,Longer run,2.5
2021-03-17,Longer run,2.75
2021-03-17,Longer run,3.0
2021-03-17,Longer run,3.0
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2021,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.125
2021-06-16,2022,0.375
2021-06-16,2022,0.375
2021-06-16,2022,0.375
2021-06-16,2022,0.375
2021-06-16,2022,0.375
2021-06-16,2022,0.625
2021-06-16,2022,0.625
2021-06-16,2023,0.125
2021-06-16,2023,0.125
2021-06-16,2023,0.125
2021-06-16,2023,0.125
2021-06-16,2023,0.125
2021-06-16,2023,0.375
2021-06-16,2023,0.375
2021-06-16,2023,0.625
2021-06-16,2023,0.625
2021-06-16,2023,0.625
2021-06-16,2023,0.875
2021-06-16,2023,0.875
2021-06-16,2023,0.875
2021-06-16,2023,1.125
2021-06-16,2023,1.125
2021-06-16,2023,1.125
2021-06-16,2023,1.625
2021-06-16,2023,1.625
2021-06-16,Longer run,2.0
2021-06-16,Longer run,2.25
2021-06-16,Longer run,2.25
2021-06-16,Longer run,2.25
2021-06-16,Longer run,2.25
2021-06-16,Longer run,2.375
2021-06-16,Longer run,2.5
2021-06-16,Longer run,2.5
2021-06-16,Longer run,2.5
2021-06-16,Longer run,2.5
2021-06-16,Longer run,2.5
2021-06-16,Longer run,2.5
2021-06-16,Longer run,2.5
2021-06-16,Longer run,2.5
2021-06-16,Longer run,2.75
2021-06-16,Longer run,3.0
2021-06-16,Longer run,3.0
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2021,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.125
2021-09-22,2022,0.375
2021-09-22,2022,0.375
2021-09-22,2022,0.375
2021-09-22,2022,0.375
2021-09-22,2022,0.375
2021-09-22,2022,0.375
2021-09-22,2022,0.625
2021-09-22,2022,0.625
2021-09-22,2022,0.625
2021-09-22,2023,0.125
2021-09-22,2023,0.375
2021-09-22,2023,0.375
