sep_date,previous_sep_date,panel,sep_median,previous_sep_median,sep_change_pp,sep_change_bps,survey_date,received_by_date,market_median,previous_market_median,survey_change_pp,survey_change_bps,days_since_sep_release
2012-06-20,2012-04-25,SPD,4.3,4.3,0.0,0.0,2012-08-01,2012-07-23,4.0,4.0,0.0,0.0,33
2012-09-13,2012-06-20,SPD,4.0,4.3,-0.2999999999999998,-30.0,2012-10-01,2012-10-15,4.0,4.0,0.0,0.0,32
2012-12-12,2012-09-13,SPD,4.0,4.0,0.0,0.0,2013-01-01,2013-01-22,4.0,4.0,0.0,0.0,41
2013-03-20,2012-12-12,SPD,4.0,4.0,0.0,0.0,2013-04-01,2013-04-22,4.0,4.0,0.0,0.0,33
2013-06-19,2013-03-20,SPD,4.0,4.0,0.0,0.0,2013-07-01,2013-07-22,4.0,4.0,0.0,0.0,33
2013-09-18,2013-06-19,SPD,4.0,4.0,0.0,0.0,2013-10-01,2013-10-22,4.0,4.0,0.0,0.0,34
2013-12-18,2013-09-18,SMP,4.0,4.0,0.0,0.0,2014-03-01,2014-03-10,3.75,3.88,-0.1299999999999999,-13.0,82
2013-12-18,2013-09-18,SPD,4.0,4.0,0.0,0.0,2014-01-01,2014-01-21,4.0,4.0,0.0,0.0,34
2014-03-19,2013-12-18,SMP,4.0,4.0,0.0,0.0,2014-04-01,2014-04-22,3.75,3.75,0.0,0.0,34
2014-03-19,2013-12-18,SPD,4.0,4.0,0.0,0.0,2014-04-01,2014-04-22,3.75,3.75,0.0,0.0,34
2014-06-18,2014-03-19,SMP,3.8,4.0,-0.20000000000000018,-20.0,2014-07-01,2014-07-21,3.63,3.75,-0.1200000000000001,-12.0,33
2014-06-18,2014-03-19,SPD,3.8,4.0,-0.20000000000000018,-20.0,2014-07-01,2014-07-21,3.5,3.5,0.0,0.0,33
2014-09-17,2014-06-18,SMP,3.8,3.8,0.0,0.0,2014-10-01,2014-10-20,3.5,3.75,-0.25,-25.0,33
2014-09-17,2014-06-18,SPD,3.8,3.8,0.0,0.0,2014-10-01,2014-10-20,3.5,3.5,0.0,0.0,33
2014-12-17,2014-09-17,SMP,3.8,3.8,0.0,0.0,2015-01-01,2015-01-20,3.5,3.5,0.0,0.0,34
2014-12-17,2014-09-17,SPD,3.8,3.8,0.0,0.0,2015-01-01,2015-01-20,3.5,3.5,0.0,0.0,34
2015-03-18,2014-12-17,SMP,3.8,3.8,0.0,0.0,2015-04-01,2015-04-20,3.5,3.5,0.0,0.0,33
2015-03-18,2014-12-17,SPD,3.8,3.8,0.0,0.0,2015-04-01,2015-04-20,3.5,3.5,0.0,0.0,33
2015-06-17,2015-03-18,SMP,3.8,3.8,0.0,0.0,2015-07-01,2015-07-20,3.5,3.5,0.0,0.0,33
2015-06-17,2015-03-18,SPD,3.8,3.8,0.0,0.0,2015-07-01,2015-07-20,3.38,3.5,-0.1200000000000001,-12.0,33
2015-09-17,2015-06-17,SMP,3.5,3.8,-0.2999999999999998,-30.0,2015-12-01,2015-12-07,3.0,3.5,-0.5,-50.0,81
2015-09-17,2015-06-17,SPD,3.5,3.8,-0.2999999999999998,-30.0,2015-12-01,2015-12-07,3.25,3.38,-0.1299999999999999,-13.0,81
2015-12-16,2015-09-17,SMP,3.5,3.5,0.0,0.0,2016-01-01,2016-01-19,3.25,3.0,0.25,25.0,34
2015-12-16,2015-09-17,SPD,3.5,3.5,0.0,0.0,2016-01-01,2016-01-19,3.25,3.25,0.0,0.0,34
2016-03-16,2015-12-16,SMP,3.3,3.5,-0.20000000000000018,-20.0,2016-04-01,2016-04-18,2.75,3.25,-0.5,-50.0,33
2016-03-16,2015-12-16,SPD,3.3,3.5,-0.20000000000000018,-20.0,2016-04-01,2016-04-18,3.25,3.25,0.0,0.0,33
2016-06-15,2016-03-16,SMP,3.0,3.3,-0.2999999999999998,-30.0,2016-07-01,2016-07-18,2.75,2.75,0.0,0.0,33
2016-06-15,2016-03-16,SPD,3.0,3.3,-0.2999999999999998,-30.0,2016-07-01,2016-07-18,3.0,3.25,-0.25,-25.0,33
2016-09-21,2016-06-15,SMP,2.9,3.0,-0.10000000000000009,-10.0,2016-11-01,2016-10-24,2.5,2.63,-0.1299999999999999,-13.0,33
2016-09-21,2016-06-15,SPD,2.9,3.0,-0.10000000000000009,-10.0,2016-11-01,2016-10-24,2.75,3.0,-0.25,-25.0,33
2016-12-14,2016-09-21,SMP,3.0,2.9,0.10000000000000009,10.0,2017-01-01,2017-01-23,2.81,2.75,0.06000000000000005,6.0,40
2016-12-14,2016-09-21,SPD,3.0,2.9,0.10000000000000009,10.0,2017-01-01,2017-01-23,3.0,2.75,0.25,25.0,40
2017-03-15,2016-12-14,SMP,3.0,3.0,0.0,0.0,2017-05-01,2017-04-24,2.75,2.75,0.0,0.0,40
2017-03-15,2016-12-14,SPD,3.0,3.0,0.0,0.0,2017-06-01,2017-06-05,2.88,3.0,-0.1200000000000001,-12.0,82
2017-06-14,2017-03-15,SMP,3.0,3.0,0.0,0.0,2017-07-01,2017-07-17,2.75,2.75,0.0,0.0,33
2017-06-14,2017-03-15,SPD,3.0,3.0,0.0,0.0,2017-07-01,2017-07-17,2.75,2.88,-0.1299999999999999,-13.0,33
2017-09-20,2017-06-14,SMP,2.8,3.0,-0.20000000000000018,-20.0,2017-10-01,2017-10-23,2.75,2.75,0.0,0.0,33
2017-09-20,2017-06-14,SPD,2.8,3.0,-0.20000000000000018,-20.0,2017-10-01,2017-10-23,2.75,2.75,0.0,0.0,33
2017-12-13,2017-09-20,SMP,2.8,2.8,0.0,0.0,2018-01-01,2018-01-22,2.75,2.75,0.0,0.0,40
2017-12-13,2017-09-20,SPD,2.8,2.8,0.0,0.0,2018-01-01,2018-01-22,2.75,2.75,0.0,0.0,40
2018-03-21,2017-12-13,SMP,2.9,2.8,0.10000000000000009,10.0,2018-05-01,2018-04-23,2.75,2.75,0.0,0.0,33
2018-03-21,2017-12-13,SPD,2.9,2.8,0.10000000000000009,10.0,2018-05-01,2018-04-23,2.75,2.75,0.0,0.0,33
2018-06-13,2018-03-21,SMP,2.9,2.9,0.0,0.0,2018-07-01,2018-07-23,2.88,2.88,0.0,0.0,40
2018-06-13,2018-03-21,SPD,2.9,2.9,0.0,0.0,2018-07-01,2018-07-23,2.75,2.75,0.0,0.0,40
2018-09-26,2018-06-13,SMP,3.0,2.9,0.10000000000000009,10.0,2018-11-01,2018-10-29,3.0,2.875,0.125,12.5,33
2018-09-26,2018-06-13,SPD,3.0,2.9,0.10000000000000009,10.0,2018-11-01,2018-10-29,2.88,2.75,0.1299999999999999,13.0,33
2018-12-19,2018-09-26,SMP,2.8,3.0,-0.20000000000000018,-20.0,2019-01-01,2019-01-22,2.75,3.0,-0.25,-25.0,34
2018-12-19,2018-09-26,SPD,2.8,3.0,-0.20000000000000018,-20.0,2019-01-01,2019-01-22,2.75,2.88,-0.1299999999999999,-13.0,34
2019-03-20,2018-12-19,SMP,2.8,2.8,0.0,0.0,2019-05-01,2019-04-22,2.69,2.75,-0.06000000000000005,-6.0,33
2019-03-20,2018-12-19,SPD,2.8,2.8,0.0,0.0,2019-05-01,2019-04-22,2.75,2.75,0.0,0.0,33
2019-06-19,2019-03-20,SMP,2.5,2.8,-0.2999999999999998,-30.0,2019-07-01,2019-07-22,2.5,2.5,0.0,0.0,33
2019-06-19,2019-03-20,SPD,2.5,2.8,-0.2999999999999998,-30.0,2019-07-01,2019-07-22,2.5,2.69,-0.18999999999999995,-19.0,33
2019-09-18,2019-06-19,SMP,2.5,2.5,0.0,0.0,2019-10-01,2019-10-21,2.38,2.48,-0.10000000000000009,-10.0,33
2019-09-18,2019-06-19,SPD,2.5,2.5,0.0,0.0,2019-10-01,2019-10-21,2.5,2.5,0.0,0.0,33
2019-12-11,2019-09-18,SMP,2.5,2.5,0.0,0.0,2020-01-01,2020-01-21,2.25,2.31,-0.06000000000000005,-6.0,41
2019-12-11,2019-09-18,SPD,2.5,2.5,0.0,0.0,2020-01-01,2020-01-21,2.4,2.5,-0.10000000000000009,-10.0,41
2020-06-10,2019-12-11,SMP,2.5,2.5,0.0,0.0,2020-07-01,2020-07-20,2.0,2.0,0.0,0.0,40
2020-06-10,2019-12-11,SPD,2.5,2.5,0.0,0.0,2020-07-01,2020-07-20,2.25,2.25,0.0,0.0,40
2020-09-16,2020-06-10,SMP,2.5,2.5,0.0,0.0,2020-11-01,2020-10-26,2.0,2.0,0.0,0.0,40
2020-09-16,2020-06-10,SPD,2.5,2.5,0.0,0.0,2020-11-01,2020-10-26,2.25,2.25,0.0,0.0,40
2020-12-16,2020-09-16,SMP,2.5,2.5,0.0,0.0,2021-01-01,2021-01-19,2.0,2.0,0.0,0.0,34
2020-12-16,2020-09-16,SPD,2.5,2.5,0.0,0.0,2021-01-01,2021-01-19,2.25,2.25,0.0,0.0,34
2021-03-17,2020-12-16,SMP,2.5,2.5,0.0,0.0,2021-04-01,2021-04-19,2.0,2.0,0.0,0.0,33
2021-03-17,2020-12-16,SPD,2.5,2.5,0.0,0.0,2021-04-01,2021-04-19,2.31,2.25,0.06000000000000005,6.0,33
2021-06-16,2021-03-17,SMP,2.5,2.5,0.0,0.0,2021-07-01,2021-07-19,2.0,2.0,0.0,0.0,33
2021-06-16,2021-03-17,SPD,2.5,2.5,0.0,0.0,2021-07-01,2021-07-19,2.25,2.31,-0.06000000000000005,-6.0,33
2021-09-22,2021-06-16,SMP,2.5,2.5,0.0,0.0,2021-11-01,2021-10-25,2.0,2.0,0.0,0.0,33
2021-09-22,2021-06-16,SPD,2.5,2.5,0.0,0.0,2021-11-01,2021-10-25,2.25,2.25,0.0,0.0,33
2021-12-15,2021-09-22,SMP,2.5,2.5,0.0,0.0,2022-01-01,2022-01-18,2.0,2.0,0.0,0.0,34
2021-12-15,2021-09-22,SPD,2.5,2.5,0.0,0.0,2022-01-01,2022-01-18,2.25,2.25,0.0,0.0,34
2022-03-16,2021-12-15,SMP,2.4,2.5,-0.10000000000000009,-10.0,2022-05-01,2022-04-25,2.44,2.19,0.25,25.0,40
2022-03-16,2021-12-15,SPD,2.4,2.5,-0.10000000000000009,-10.0,2022-05-01,2022-04-25,2.38,2.25,0.1299999999999999,13.0,40
2022-06-15,2022-03-16,SMP,2.5,2.4,0.10000000000000009,10.0,2022-07-01,2022-07-18,2.38,2.31,0.06999999999999984,7.0,33
2022-06-15,2022-03-16,SPD,2.5,2.4,0.10000000000000009,10.0,2022-07-01,2022-07-18,2.38,2.38,0.0,0.0,33
2022-09-21,2022-06-15,SMP,2.5,2.5,0.0,0.0,2022-11-01,2022-10-24,2.38,2.38,0.0,0.0,33
2022-09-21,2022-06-15,SPD,2.5,2.5,0.0,0.0,2022-11-01,2022-10-24,2.4,2.38,0.020000000000000018,2.0,33
2022-12-14,2022-09-21,SMP,2.5,2.5,0.0,0.0,2023-01-01,2023-01-23,2.38,2.38,0.0,0.0,40
2022-12-14,2022-09-21,SPD,2.5,2.5,0.0,0.0,2023-01-01,2023-01-23,2.5,2.5,0.0,0.0,40
2023-03-22,2022-12-14,SMP,2.5,2.5,0.0,0.0,2023-05-01,2023-04-24,2.5,2.5,0.0,0.0,33
2023-03-22,2022-12-14,SPD,2.5,2.5,0.0,0.0,2023-05-01,2023-04-24,2.5,2.5,0.0,0.0,33
2023-06-14,2023-03-22,Combined,2.5,2.5,0.0,0.0,2023-09-01,2023-09-11,2.56,2.5,0.06000000000000005,6.0,89
2023-06-14,2023-03-22,SMP,2.5,2.5,0.0,0.0,2023-07-01,2023-07-17,2.5,2.5,0.0,0.0,33
2023-06-14,2023-03-22,SPD,2.5,2.5,0.0,0.0,2023-07-01,2023-07-17,2.5,2.5,0.0,0.0,33
2023-09-20,2023-06-14,Combined,2.5,2.5,0.0,0.0,2023-10-01,2023-10-23,2.63,2.56,0.06999999999999984,7.0,33
2023-09-20,2023-06-14,SMP,2.5,2.5,0.0,0.0,2023-10-01,2023-10-23,2.6,2.63,-0.029999999999999805,-3.0,33
2023-09-20,2023-06-14,SPD,2.5,2.5,0.0,0.0,2023-10-01,2023-10-23,2.75,2.5,0.25,25.0,33
2023-12-13,2023-09-20,Combined,2.5,2.5,0.0,0.0,2024-01-01,2024-01-22,2.75,2.75,0.0,0.0,40
2023-12-13,2023-09-20,SMP,2.5,2.5,0.0,0.0,2024-01-01,2024-01-22,2.69,2.63,0.06000000000000005,6.0,40
2023-12-13,2023-09-20,SPD,2.5,2.5,0.0,0.0,2024-01-01,2024-01-22,2.88,2.75,0.1299999999999999,13.0,40
2024-03-20,2023-12-13,Combined,2.6,2.5,0.10000000000000009,10.0,2024-05-01,2024-04-22,3.0,2.75,0.25,25.0,33
2024-03-20,2023-12-13,SMP,2.6,2.5,0.10000000000000009,10.0,2024-05-01,2024-04-22,2.88,2.75,0.1299999999999999,13.0,33
2024-03-20,2023-12-13,SPD,2.6,2.5,0.10000000000000009,10.0,2024-05-01,2024-04-22,3.0,2.94,0.06000000000000005,6.0,33
2024-06-12,2024-03-20,Combined,2.8,2.6,0.19999999999999973,20.0,2024-07-01,2024-07-22,3.0,3.0,0.0,0.0,40
2024-06-12,2024-03-20,SMP,2.8,2.6,0.19999999999999973,20.0,2024-07-01,2024-07-22,3.0,2.88,0.1200000000000001,12.0,40
2024-06-12,2024-03-20,SPD,2.8,2.6,0.19999999999999973,20.0,2024-07-01,2024-07-22,3.13,3.13,0.0,0.0,40
2024-09-18,2024-06-12,Combined,2.9,2.8,0.10000000000000009,10.0,2024-11-01,2024-10-28,3.0,2.88,0.1200000000000001,12.0,40
2024-09-18,2024-06-12,SMP,2.9,2.8,0.10000000000000009,10.0,2024-11-01,2024-10-28,2.88,2.88,0.0,0.0,40
2024-09-18,2024-06-12,SPD,2.9,2.8,0.10000000000000009,10.0,2024-11-01,2024-10-28,3.13,3.06,0.06999999999999984,7.0,40
2024-12-18,2024-09-18,Combined,3.0,2.9,0.10000000000000009,10.0,2025-01-01,2025-01-21,3.13,3.13,0.0,0.0,34
2024-12-18,2024-09-18,SMP,3.0,2.9,0.10000000000000009,10.0,2025-01-01,2025-01-21,3.0,2.94,0.06000000000000005,6.0,34
2024-12-18,2024-09-18,SPD,3.0,2.9,0.10000000000000009,10.0,2025-01-01,2025-01-21,3.19,3.13,0.06000000000000005,6.0,34
2025-03-19,2024-12-18,Combined,3.0,3.0,0.0,0.0,2025-05-01,2025-04-28,3.13,3.13,0.0,0.0,40
2025-03-19,2024-12-18,SMP,3.0,3.0,0.0,0.0,2025-05-01,2025-04-28,3.0,3.06,-0.06000000000000005,-6.0,40
2025-03-19,2024-12-18,SPD,3.0,3.0,0.0,0.0,2025-05-01,2025-04-28,3.13,3.13,0.0,0.0,40
2025-06-18,2025-03-19,Combined,3.0,3.0,0.0,0.0,2025-07-01,2025-07-21,3.13,3.13,0.0,0.0,33
