sample_type,sample,model,n,r_squared,intercept,sep_change_bps,panel_fe_combined,panel_fe_smp
survey_level,All,survey_change_bps_on_sep_change_bps,228,0.091,-0.1659,0.2747,,
survey_level,SPD,survey_change_bps_on_sep_change_bps,109,0.078,-0.3836,0.2054,,
survey_level,SMP,survey_change_bps_on_sep_change_bps,97,0.111,-0.31,0.3621,,
survey_level,Combined,survey_change_bps_on_sep_change_bps,22,0.003,3.1531,-0.0579,,
survey_level,All,survey_change_bps_on_sep_change_bps_panel_fe,228,0.094,-0.2654,0.264,1.8093,-0.2064
event_level_first_survey,All,survey_change_bps_on_sep_change_bps,116,0.248,-0.1158,0.5204,,
event_level_first_survey,SPD,survey_change_bps_on_sep_change_bps,55,0.238,0.3098,0.4087,,
event_level_first_survey,SMP,survey_change_bps_on_sep_change_bps,49,0.274,-0.9757,0.6521,,
event_level_first_survey,Combined,survey_change_bps_on_sep_change_bps,12,0.054,2.5667,0.27,,
event_level_first_survey,All,survey_change_bps_on_sep_change_bps_panel_fe,116,0.256,0.5352,0.512,0.8216,-1.7683
