meeting_date,horizon,n,p25,p50,p75,source,file_path,page,notes
2007-10-01,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20071031SEPcompilation.pdf,,Figure 2 with the federal funds rate dot plot is not present in the document.
2014-03-01,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20080130SEPcompilation.pdf,,The document does not contain Figure 2 with a federal funds rate dot plot for the 'Longer run' column.
2008-04-30,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20080430SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2008-06-01,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20080625SEPcompilation.pdf,,The document does not contain a Figure 2 with a federal funds rate dot plot for the 'Longer run' projections.
2008-10-29,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20081029SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2009-01-28,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20090128SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2009-04-29,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20090429SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2014-03-01,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20090624SEPcompilation.pdf,,Figure 2 with the federal funds rate dot plot is not present in the provided document.
2009-11-04,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20091104SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2010-01-27,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20100127SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2010-04-28,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20100428SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2010-06-23,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20100623SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2010-11-01,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20101103SEPcompilation.pdf,,The document does not contain a Figure 2 with a federal funds rate dot plot for the 'Longer run' column.
2011-01-26,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20110126SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2011-04-27,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20110427SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2011-06-22,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20110622SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2011-11-02,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20111102SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2012-01-01,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20120125SEPcompilation.pdf,,Figure 2 does not contain a 'Longer run' column with rate levels to count.
2012-04-25,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20120425SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2012-06-20,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20120620SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2012-09-13,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20120913SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2012-12-12,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20121212SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
2013-03-20,Longer run,,,,,sep_pdf,data_raw/sep/FOMC20130320SEPcompilation.pdf,,Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-m0MDc8Q9h
